itemId,category,name,brandName,price,averageRating,totalReviews,retrievedDate
194433140,beli-smart-tv,Lenovo Ideapad 330-14AST-3BID AMD A9-9425 (RAM 4GB - HDD 1TB - AMD R5 M530 2GB - 14HD - DOS - Black),Lenovo,4999000,5,4,02/10/2019
194438092,beli-smart-tv,Lenovo Ideapad 330-14AST-3CID AMD A9-9425 (RAM 4GB - HDD 1TB - AMD R5 M530 2GB - 14HD - DOS - GRAY),Lenovo,4999000,4,6,02/10/2019
195753904,beli-smart-tv,"Asus ZenBook Flip 13 UX362FA-EL501T - i5 8265U - 8GB - Intel UHD - 512GB SSD - 13.3"" FHD - Win10 - Gun Grey - ESEL",Asus,14899000,5,1,02/10/2019
195851454,beli-smart-tv,POLYTRON 32D7511 New LED TV 32 Inch - Hitam GARANSI 5 TAHUN GARANSI RESMI,Polytron,1880000,5,8,02/10/2019
195852085,beli-smart-tv,POLYTRON PLD32T7511 CINEMAX TV LED [32 Inch] garansi 5 tahun garansi resmi,Polytron,1940000,4,125,02/10/2019
195875134,beli-smart-tv,Polytron PLD 32 S1503 DIGITAL LED TV 32- Black garansi resmi 5tahun,Polytron,2050000,5,3,02/10/2019
198896054,beli-smart-tv,Sharp 40 inch LED HD TV - Hitam (Model LC-40LE185i)garansi resmi,Sharp,3698000,5,1,02/10/2019
205349012,beli-smart-tv,SHARP LED TV 32 INCH LC-32LE179i GARANSI RESMI,Sharp,1880000,4,18,02/10/2019
219016490,beli-smart-tv,LT-15M1R TV LED MURAH,Ikedo,700000,3,5,02/10/2019
238454205,beli-smart-tv,Asus X540L-AXX1015D BLACK RAM4GB CORE I3 HARDISK 500GB LAYAR 15 INC DAN BONUS TAS LAPTOP ASUS (FREE ASURANSI),Asus,5090600,5,3,02/10/2019
238556570,beli-smart-tv,"Panasonic HD LED TV 24"" - TH-24F305G - Hitam",Panasonic,1349000,3,5,02/10/2019
2418805,beli-smart-tv,"Acer E1 451G-84505G50 - 14"" - A8-4500M Quad Core - 4 GB RAM - Hitam",Acer,4750000,5,1,02/10/2019
2419138,beli-smart-tv,Acer E3 112-C08P Silver,Acer,3170000,4,1,02/10/2019
2475072,beli-smart-tv,"Samsung 32"" LED TV - Hitam - 32FH4003",Samsung,2500000,5,1,02/10/2019
2502845,beli-smart-tv,"Lenovo Yoga 500 - 14"" - Intel i5-5200u - 4GB - Hitam",Lenovo,10250000,5,1,02/10/2019
25844,beli-smart-tv,"CRYSTAL LED TV 32"" Imagine CTV-3200",Crystal ,3399000,4,2,02/10/2019
25850,beli-smart-tv,"CRYSTAL LED TV 24"" Imagine CTV-2924",Crystal ,2450000,3,1,02/10/2019
286690,beli-smart-tv,"Samsung  32"" LED TV - UA32FH4003 - Hitam",Samsung,2199000,2,8,02/10/2019
300427795,beli-smart-tv,"TCL LED Smart TV 32"" - L32S4900 - Hitam",TCL,2600000,5,1,02/10/2019
302325667,beli-smart-tv,COOCAA 32E28 LED TV 32in USB MOVIE - FREE ONGKIR Sejabodetabek,Coocaa,1690000,5,9,02/10/2019
302326706,beli-smart-tv,COOCAA 40S3A12G LED SMART TV WIFI- DIGITAL TV DVB-T2 40in USB MOVIE - FREE ONGKIR Sejabodetabek,Coocaa,3900000,5,1,02/10/2019
302336271,beli-smart-tv,COOCAA 32S3A12G LED SMART TV WIFI -DIGITAL TV DVB-T2 32in USB MOVIE - FREE ONGKIR Sejabodetabek,Coocaa,2390000,4,2,02/10/2019
307318921,beli-smart-tv,LG 22TK420A-PT LED TV - Black [22 Inch] (KHUSUS JABODETABEK)  untuk keluar kota wajib di packing kayu,LG,1485000,5,1,02/10/2019
308643,beli-smart-tv,"Apple Macbook Pro 13"" MD101 iCore5 2.5GHz 4GB Memory 500 Harddisk",Apple,14799000,5,1,02/10/2019
312367,beli-smart-tv,Acer Aspire E5-421-61CJ - DOS - Black,Acer,6714000,3,1,02/10/2019
318353605,beli-smart-tv,TV LED 19 INCH MINTON - USB MOVIE - FULL HD MOVIE SUPPORT - MURAH,Iconic,900000,5,3,02/10/2019
319994011,beli-smart-tv,Philips LED HD TV 32 Inch 32PHA4100,Philips,2190000,5,1,02/10/2019
